"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ggthemes","ggthemes","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","5.0.0",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, lifecycle, methods, purrr,
scales, stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, quantreg, rlang, rmarkdown, spelling, testthat
(>= 3.2.0), tidyr, vdiffr, withr, V8",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"gh","gh","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.0",NA,"R (>= 3.4)","cli (>= 3.0.1), gitcreds, httr2, ini, jsonlite, rlang (>=
1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ghibli","ghibli","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.3",NA,"R (>= 2.10)","grDevices, prismatic",NA,"ggplot2, dplyr, knitr, rmarkdown, testthat, crayon, cowplot,
codemeta",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"giscoR","giscoR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.0",NA,"R (>= 3.6.0)","countrycode (>= 1.2.0), geojsonsf (>= 2.0.0), httr, rappdirs
(>= 0.3.0), sf (>= 0.9.0), utils",NA,"eurostat, ggplot2 (>= 3.0.0), knitr, lwgeom (>= 0.2-2),
rmarkdown, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"gitcreds","gitcreds","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"globals","globals","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.16.2",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"glue","glue","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.0",NA,"R (>= 3.6)","methods",NA,"crayon, DBI (>= 1.2.0), dplyr, knitr, magrittr, rlang,
rmarkdown, RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0),
waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"gmp","gmp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6-6",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"gnm","gnm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-5",NA,"R (>= 3.0.0)","graphics, grDevices, MASS, Matrix, methods, nnet, qvcalc (>=
0.8-3), relimp, stats, utils",NA,"logmult, testthat (>= 3.0.0), vcdExtra",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"googledrive","googledrive","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.1",NA,"R (>= 3.6)","cli (>= 3.0.0), gargle (>= 1.5.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar (>= 1.9.0), purrr (>=
1.0.1), rlang (>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs
(>= 0.3.0), withr",NA,"curl, dplyr (>= 1.0.0), knitr, mockr, rmarkdown, spelling,
testthat (>= 3.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"googlesheets4","googlesheets4","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,"R (>= 3.6)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.5.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"readr, rmarkdown, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"gower","gower","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,"grDevices",NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"graphlayouts","graphlayouts","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.0",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"grid","grid","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"gridExtra","gridExtra","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gridGraphics","gridGraphics","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gridtext","gridtext","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.5",NA,"R (>= 3.5)","curl, grid, grDevices, markdown, rlang, Rcpp, png, jpeg,
stringr, xml2","Rcpp","covr, knitr, rmarkdown, testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"groundhog","groundhog","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.2.0",NA,"utils","methods",NA,"git2r, remotes",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"gt","gt","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.10.1",NA,"R (>= 3.2.0)","base64enc (>= 0.1-3), bigD (>= 0.2), bitops (>= 1.0-7), cli
(>= 3.6.0), commonmark (>= 1.8.1), dplyr (>= 1.1.0), fs (>=
1.6.1), glue (>= 1.6.2), htmltools (>= 0.5.4), htmlwidgets (>=
1.6.1), juicyjuice (>= 0.1.0), magrittr (>= 2.0.2), markdown
(>= 1.5), reactable (>= 0.4.3), rlang (>= 1.0.2), sass (>=
0.4.5), scales (>= 1.2.1), tidyselect (>= 1.2.0), vctrs, xml2
(>= 1.3.3)",NA,"covr, digest (>= 0.6.31), fontawesome (>= 0.5.2), ggplot2,
knitr, lubridate, magick, paletteer, RColorBrewer, rmarkdown
(>= 2.20), rvest, shiny (>= 1.7.4), testthat (>= 3.1.9), tidyr,
webshot2 (>= 0.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"gtable","gtable","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.4",NA,"R (>= 3.5)","cli, glue, grid, lifecycle, rlang (>= 1.1.0)",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"gtools","gtools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.9.5",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"hardhat","hardhat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.1",NA,"R (>= 3.5.0)","cli (>= 3.6.0), glue (>= 1.6.2), rlang (>= 1.1.0), tibble (>=
3.2.1), vctrs (>= 0.6.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 1.0.5), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"haven","haven","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.5.4",NA,"R (>= 3.6)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0), utf8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"here","here","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"HH","HH","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1-51",NA,"R (>= 3.0.2), lattice, stats, grid, latticeExtra, multcomp,
gridExtra (>= 2.0.0), graphics","reshape2, leaps, vcd, colorspace, RColorBrewer, shiny (>=
0.13.1), Hmisc, abind, Rmpfr (>= 0.6.0), grDevices, methods",NA,"mvtnorm, car, Rcmdr, RcmdrPlugin.HH, TeachingDemos, microplot",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"highr","highr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.10",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"Hmisc","Hmisc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","5.1-1",NA,NA,"methods, ggplot2, cluster, rpart, nnet, foreign, gtable, grid,
gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc, colorspace, rmarkdown, knitr, Formula",NA,"survival, qreport, acepack, chron, rms, mice, rstudioapi,
tables, plotly (>= 4.5.6), rlang, plyr, VGAM, leaps, pcaPP,
digest, parallel, polspline, abind, kableExtra, rio, lattice,
latticeExtra, gt, sparkline, jsonlite, htmlwidgets, qs,
getPass, keyring, safer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"hms","hms","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.3",NA,NA,"lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>=
0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"htmlTable","htmlTable","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4.2",NA,"R (>= 4.1)","stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, rmarkdown, chron, lubridate,
tibble, purrr, tidyselect, glue, rlang, tidyr (>= 0.7.2), dplyr
(>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"htmltools","htmltools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.7",NA,"R (>= 2.14.1)","base64enc, digest, ellipsis, fastmap (>= 1.1.0), grDevices,
rlang (>= 1.0.0), utils",NA,"Cairo, markdown, ragg, shiny, testthat, withr","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"htmlwidgets","htmlwidgets","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.4",NA,NA,"grDevices, htmltools (>= 0.5.7), jsonlite (>= 0.9.16), knitr
(>= 1.8), rmarkdown, yaml",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"httpcode","httpcode","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"httpuv","httpuv","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.14",NA,"R (>= 2.15.1)","later (>= 0.8.0), promises, R6, Rcpp (>= 1.0.7), utils","later, Rcpp","callr, curl, testthat, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"httr","httr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.7",NA,"R (>= 3.5)","curl (>= 5.0.2), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"httr2","httr2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,"R (>= 3.6)","cli (>= 3.0.0), curl (>= 5.1.0), glue, lifecycle, magrittr,
openssl, R6, rappdirs, rlang (>= 1.1.0), vctrs (>= 0.6.3),
withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, rmarkdown, testthat (>= 3.1.8), tibble, webfakes, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"humaniformat","humaniformat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.0",NA,NA,"Rcpp, methods","Rcpp","testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"hunspell","hunspell","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.0.3",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","4.2.0"
"ids","ids","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"igraph","igraph","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.5",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
rlang, stats, utils",NA,"ape, graph, igraphdata, rgl, scales, stats4, tcltk, testthat,
withr, digest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"iheiddown","iheiddown","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9.7",NA,"R (>= 3.5.0)","bookdown, dplyr, ggplot2 (>= 3.4.0), rmarkdown, xaringan,
crayon, pdftools, rlang, servr, readr, rstudioapi, tibble,
tidytext, bib2df, stringr, fs, usethis, gender, pagedown",NA,"testthat, kableExtra, knitr, DT, leaflet, remotes,
modelsummary, gt",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ini","ini","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"insight","insight","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.19.8",NA,"R (>= 3.6)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, blavaan, blme, boot, brms, broom, car,
carData, censReg, cgam, clubSandwich, coxme, cplm, crch, curl,
datawizard, effectsize, emmeans, epiR, estimatr, feisr, fixest
(>= 0.11.2), fungible, gam, gamlss, gamlss.data, gamm4, gbm,
gee, geepack, geoR, ggeffects, GLMMadaptive, glmmTMB, gmnl,
grDevices, gt, httr, interp, ivreg, JM, knitr, lavaan,
lavaSearch2, lfe, lme4, lmerTest, lmtest, logistf, logitr,
MASS, marginaleffects, Matrix, mclogit, mclust, MCMCglmm,
merTools, metaBMA, metadat, metafor, metaplus, mgcv, mice,
mlogit, mhurdle, mmrm, modelbased, multgee, MuMIn, nestedLogit,
nlme, nnet, nonnest2, ordinal, panelr, parameters, parsnip,
pbkrtest, performance, plm, poorman, pscl, psych, quantreg,
Rcpp, rmarkdown, rms, rpart, robustbase, robustlmm, rstanarm
(>= 2.21.1), rstantools (>= 2.1.0), rstudioapi, sandwich,
speedglm, splines, statmod, survey, survival, testthat,
tinytable, truncreg, tweedie, TMB, VGAM, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"interactingan","interactingan","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.0",NA,NA,"ggplot2, methods, qrcode, rsconnect, shiny, shinythemes,
wordcloud, xaringan",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"interp","interp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-3",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.9), deldir","Rcpp, RcppEigen","sp, Deriv, Ryacas, ggplot2, gridExtra, lattice, stringi,
stringr","RcppEigen","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"ipred","ipred","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9-14",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"isoband","isoband","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ISOcodes","ISOcodes","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2023.12.07",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"iterators","iterators","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.2.0"
"janeaustenr","janeaustenr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,"R (>= 3.5)",NA,NA,"dplyr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"janitor","janitor","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.2.0",NA,"R (>= 3.1.2)","dplyr (>= 1.0.0), hms, lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)",NA,"dbplyr, knitr, rmarkdown, RSQLite, sf, testthat (>= 3.0.0),
tibble, tidygraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"jpeg","jpeg","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1-10",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"jqr","jqr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.3",NA,"R (>= 3.1.2)","magrittr, lazyeval",NA,"jsonlite, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"jquerylib","jquerylib","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"jsonify","jsonify","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.12.18)","rapidjsonr (>= 1.2.0), Rcpp","covr, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"jsonlite","jsonlite","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8.8",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"jsonvalidate","jsonvalidate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.2",NA,NA,"V8",NA,"knitr, jsonlite, rmarkdown, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"jtools","jtools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.2.2",NA,"R (>= 3.5.0)","crayon, generics, ggplot2 (>= 3.4.0), magrittr, pander,
pkgconfig, rlang (>= 0.3.0), tibble",NA,"boot, broom, broom.mixed, huxtable (>= 3.0.0), kableExtra,
lme4, lmerTest, MASS, methods, pbkrtest, RColorBrewer,
sandwich, scales, survey, weights, knitr, rmarkdown, testthat,
vdiffr","brms, quantreg, rstanarm","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"juicyjuice","juicyjuice","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.0",NA,NA,"V8 (>= 4.2.0)",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"kableExtra","kableExtra","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.0",NA,"R (>= 3.1.0)","knitr (>= 1.33), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rmarkdown (>= 1.6.0), scales, viridisLite, stats, grDevices,
htmltools, rstudioapi, tools, digest, graphics, svglite",NA,"testthat, magick, tinytex, formattable, sparkline, webshot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"KernSmooth","KernSmooth","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.23-22","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.2.0"
"knitr","knitr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.45",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr, methods, tools, xfun (>= 0.39),
yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), curl, jpeg, JuliaCall (>=
0.11.1), magick, markdown (>= 1.3), png, ragg, reticulate (>=
1.4), rgl (>= 0.95.1201), rlang, rmarkdown, sass, showtext,
styler (>= 1.2.0), targets (>= 0.6.0), testit, tibble,
tikzDevice (>= 0.10), tinytex (>= 0.46), webshot, rstudioapi,
svglite, xml2 (>= 1.2.0)",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"labeling","labeling","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.3",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.2.0"
"labelled","labelled","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.12.0",NA,"R (>= 3.0)","haven (>= 2.4.1), dplyr (>= 1.0.0), lifecycle, rlang, vctrs,
stringr, tidyr",NA,"testthat, knitr, rmarkdown, questionr, snakecase, utf8, covr,
spelling","memisc","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"later","later","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.2",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"lattice","lattice","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.22-5","recommended","R (>= 4.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra, colorspace","chron, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"latticeExtra","latticeExtra","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6-30",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer,
interp, MASS",NA,"maps, mapproj, deldir, quantreg, zoo, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"lava","lava","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.3",NA,"R (>= 3.5.0)","future.apply, grDevices, graphics, methods, numDeriv,
progressr, stats, survival, SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
geepack, graph, knitr, bookdown, rmarkdown, igraph (>= 0.6),
lavaSearch2, lme4, mets (>= 1.1), nlme, optimx, polycor,
quantreg, rgl, R.rsp (>= 0.40), targeted (>= 0.2), testthat (>=
0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"lazyeval","lazyeval","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"leafem","leafem","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.3",NA,"R (>= 3.1.0)","base64enc, geojsonsf, htmltools (>= 0.3), htmlwidgets, leaflet
(>= 2.0.1), methods, raster, sf, png",NA,"clipr, leafgl, lwgeom, mapdeck, plainview, stars",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"leaflet","leaflet","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.2.1",NA,"R (>= 3.1.0)","crosstalk, htmltools, htmlwidgets (>= 1.5.4), jquerylib,
leaflet.providers (>= 2.0.0), magrittr, methods, png, raster
(>= 3.6.3), RColorBrewer, scales (>= 1.0.0), sp, stats, viridis
(>= 0.5.1), xfun",NA,"knitr, maps, purrr, R6, RJSONIO, s2, sf (>= 0.9-6), shiny,
terra, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"leaflet.extras","leaflet.extras","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,"R (>= 3.1.0), leaflet (>= 2.0.0)","htmlwidgets, htmltools, stringr, magrittr",NA,"jsonlite, readr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"leaflet.providers","leaflet.providers","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.0",NA,"R (>= 2.10)","htmltools",NA,"jsonlite, testthat (>= 3.0.0), V8",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"leafpop","leafpop","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.0",NA,NA,"base64enc, brew, htmltools, htmlwidgets, sf, svglite, uuid",NA,"lattice, leaflet (>= 2.0.0), sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"leafsync","leafsync","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.0",NA,"R (>= 3.1.0), methods","htmltools (>= 0.3), htmlwidgets, leaflet (>= 2.0.1)",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"leaftime","leaftime","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.0",NA,"R (>= 3.1.0), leaflet (>= 2.0.0)","htmlwidgets, htmltools",NA,"geojsonio",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"leaps","leaps","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
